"parameter_group","variable","parameter_index","value","derivation_database","derivation_n","quantile_type"
"baseline_three_knots","age",1,44,"MIMIC-IV",9861,2
"baseline_three_knots","age",2,66,"MIMIC-IV",9861,2
"baseline_three_knots","age",3,83,"MIMIC-IV",9861,2
"baseline_three_knots","pf_ratio",1,88.8888888888889,"MIMIC-IV",9861,2
"baseline_three_knots","pf_ratio",2,194,"MIMIC-IV",9861,2
"baseline_three_knots","pf_ratio",3,282,"MIMIC-IV",9861,2
"baseline_three_knots","map",1,43,"MIMIC-IV",9861,2
"baseline_three_knots","map",2,59,"MIMIC-IV",9861,2
"baseline_three_knots","map",3,72,"MIMIC-IV",9861,2
"baseline_three_knots","platelet",1,69,"MIMIC-IV",9861,2
"baseline_three_knots","platelet",2,158,"MIMIC-IV",9861,2
"baseline_three_knots","platelet",3,308,"MIMIC-IV",9861,2
"baseline_three_knots","creatinine",1,0.6,"MIMIC-IV",9861,2
"baseline_three_knots","creatinine",2,1.1,"MIMIC-IV",9861,2
"baseline_three_knots","creatinine",3,3.2,"MIMIC-IV",9861,2
"nonlinear_four_knots","smp",1,8.4672,"MIMIC-IV",9861,2
"nonlinear_four_knots","smp",2,13.4064,"MIMIC-IV",9861,2
"nonlinear_four_knots","smp",3,18.66312,"MIMIC-IV",9861,2
"nonlinear_four_knots","smp",4,33.2514,"MIMIC-IV",9861,2
"nonlinear_four_knots","four_dprr",1,47,"MIMIC-IV",9861,2
"nonlinear_four_knots","four_dprr",2,64,"MIMIC-IV",9861,2
"nonlinear_four_knots","four_dprr",3,76,"MIMIC-IV",9861,2
"nonlinear_four_knots","four_dprr",4,102,"MIMIC-IV",9861,2
"nonlinear_four_knots","driving_pressure",1,7,"MIMIC-IV",9861,2
"nonlinear_four_knots","driving_pressure",2,11,"MIMIC-IV",9861,2
"nonlinear_four_knots","driving_pressure",3,14,"MIMIC-IV",9861,2
"nonlinear_four_knots","driving_pressure",4,20,"MIMIC-IV",9861,2
"nonlinear_four_knots","rr",1,14,"MIMIC-IV",9861,2
"nonlinear_four_knots","rr",2,18,"MIMIC-IV",9861,2
"nonlinear_four_knots","rr",3,22,"MIMIC-IV",9861,2
"nonlinear_four_knots","rr",4,30,"MIMIC-IV",9861,2
