"model_id","metric","omissions","minimum_estimate","maximum_estimate","maximum_absolute_change_from_full"
"M_4DPRR","brier",34,0.173162805616429,0.186517316284221,0.00872025211441224
"M_DPRR","brier",34,0.171671704153804,0.190075826088884,0.012657523175984
"M_ENERGY","brier",34,0.172028744937907,0.188651167844918,0.0112853104902081
"M_MP","brier",34,0.170717241533506,0.189257428531974,0.0130202156300213
"M0","brier",34,0.174273963851327,0.191071103020514,0.0116202707793705
"M_4DPRR","c_statistic",34,0.693929748777993,0.718243620785994,0.0191401357467208
"M_DPRR","c_statistic",34,0.696629532795271,0.71849580821728,0.0173526997269383
"M_ENERGY","c_statistic",34,0.696927929976128,0.713795223587767,0.0128355254919663
"M_MP","c_statistic",34,0.699030919631693,0.712106139423708,0.00890451010419258
"M0","c_statistic",34,0.686071956348755,0.70513059300543,0.0133992813811631
"M_4DPRR","calibration_in_the_large",34,-0.137493451484014,0.116384490689375,0.214057275817073
"M_DPRR","calibration_in_the_large",34,0.0655638757015837,0.317221899544361,0.213834039346134
"M_ENERGY","calibration_in_the_large",34,-0.0719766446651523,0.210132189707844,0.236904971920509
"M_MP","calibration_in_the_large",34,-0.0317816678622234,0.224664188100501,0.213558572991448
"M0","calibration_in_the_large",34,-0.0480509232542742,0.167735595395608,0.1812697389602
"M_4DPRR","calibration_intercept",34,-0.397941281260934,-0.0559232187883944,0.299699883348976
"M_DPRR","calibration_intercept",34,-0.282319783196656,0.041230249084459,0.288488716838841
"M_ENERGY","calibration_intercept",34,-0.343811123612529,0.0237931027062974,0.313766070106764
"M_MP","calibration_intercept",34,-0.278920960242635,0.0447082763873621,0.275776064589004
"M0","calibration_intercept",34,-0.319997107587314,-0.0112549347748282,0.270092975987997
"M_4DPRR","calibration_slope",34,0.691226450745586,0.827572678208813,0.107049619038291
"M_DPRR","calibration_slope",34,0.666726095687313,0.761177118125022,0.077158381004048
"M_ENERGY","calibration_slope",34,0.703060516005048,0.820941048541858,0.0943257545676864
"M_MP","calibration_slope",34,0.740920314663531,0.834083341102119,0.0702784140668296
"M0","calibration_slope",34,0.711743710059055,0.831488418153207,0.0924856073885886
"M_4DPRR","log_loss",34,0.526544569073326,0.558259432048152,0.0200223960172142
"M_DPRR","log_loss",34,0.523613033538954,0.566989558882589,0.0290599101440351
"M_ENERGY","log_loss",34,0.522953944792227,0.563214504441625,0.0266612596579303
"M_MP","log_loss",34,0.519521865369078,0.564723244708918,0.0310306522377282
"M0","log_loss",34,0.527373268260532,0.568263661414186,0.0275572626017652
"M_4DPRR","observed_expected_ratio",34,0.917501692925051,1.07268445024639,0.129812457784434
"M_DPRR","observed_expected_ratio",34,1.04168078113453,1.20962297845925,0.141101849078042
"M_ENERGY","observed_expected_ratio",34,0.955716956424867,1.13780771084325,0.150693940100251
"M_MP","observed_expected_ratio",34,0.979901906365365,1.14933425949819,0.139241300430874
"M0","observed_expected_ratio",34,0.969362248130045,1.11011977733895,0.117415361961928
