"candidate_model","reference_model","metric","omissions","minimum_estimate","maximum_estimate","maximum_absolute_change_from_full"
"M_4DPRR","M_MP","delta_brier",34,-0.00274011224775225,0.00244556408292373,0.0042999635156091
"M_DPRR","M_MP","delta_brier",34,-0.00022323063883456,0.000954462620298469,0.000815000805095639
"M_ENERGY","M_MP","delta_brier",34,-0.000633100440673551,0.00131150340440087,0.00173490513981328
"M_4DPRR","M0","delta_brier",34,-0.00455378673629278,-0.00111115823489788,0.00290001866495829
"M_DPRR","M0","delta_brier",34,-0.00260225969752315,-0.000995276931629846,0.00103725239661343
"M_ENERGY","M0","delta_brier",34,-0.00309408060503341,-0.00199870087360973,0.000581478328973484
"M_MP","M0","delta_brier",34,-0.00355672231782161,-0.00175794822201344,0.00139994485065081
"M_4DPRR","M_MP","delta_c_statistic",34,-0.0051011708537001,0.00870694022289764,0.0102356256425282
"M_DPRR","M_MP","delta_c_statistic",34,-0.00240138683642155,0.00874731518048921,0.00844818962274574
"M_ENERGY","M_MP","delta_c_statistic",34,-0.00210298965556444,0.00300389437689963,0.00393101538777374
"M_4DPRR","M0","delta_c_statistic",34,0.00785779242923723,0.0164402862208713,0.00574085436555771
"M_DPRR","M0","delta_c_statistic",34,0.0105575764465158,0.017345666181667,0.00395341834577523
"M_ENERGY","M0","delta_c_statistic",34,0.00847606499780407,0.0124107963220106,0.00211857858383446
"M_MP","M0","delta_c_statistic",34,0.00667292290499588,0.0129589632829373,0.00449477127697051
"M_4DPRR","M_MP","delta_log_loss",34,-0.0064638126607659,0.00702270370424773,0.0110082562205139
"M_DPRR","M_MP","delta_log_loss",34,-0.000459373416977216,0.00409116816987631,0.00257979949316045
"M_ENERGY","M_MP","delta_log_loss",34,-0.00150874026729297,0.00343207942314838,0.00436939257979785
"M_4DPRR","M0","delta_log_loss",34,-0.0100042293660347,-0.000828699187206294,0.00753486658455094
"M_DPRR","M0","delta_log_loss",34,-0.00502854973546962,-0.000836205272650825,0.00277096255616183
"M_ENERGY","M0","delta_log_loss",34,-0.0068225698071902,-0.0039499628496058,0.00150724339504971
"M_MP","M0","delta_log_loss",34,-0.00785140289145403,-0.00324249413659061,0.003473389635963
