"database","analysis","model_id","model_role","weighting","metric","estimate"
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","n",9861
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","events",2485
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","effective_sample_size",9522.83028183658
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","weighted_event_rate",0.239559363825994
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","brier",0.159246055981764
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","log_loss",0.491588955949276
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","c_statistic",0.722766229613853
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","calibration_in_the_large",2.39465994008088e-10
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","calibration_intercept",6.85944197609819e-11
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","calibration_slope",1.00000000016273
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M0","no-GCS baseline","development_derived_joint_ipw","observed_expected_ratio",0.999999999935167
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","n",9861
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","events",2485
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","effective_sample_size",9522.83028183658
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","weighted_event_rate",0.239559363825994
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","brier",0.15632566601812
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","log_loss",0.484520228012022
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","c_statistic",0.73308771182499
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","calibration_in_the_large",1.84918609791798e-10
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","calibration_intercept",1.89226496305906e-10
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","calibration_slope",1.00000000047502
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","linear sMP","development_derived_joint_ipw","observed_expected_ratio",0.999999999809568
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","n",9861
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","events",2485
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","effective_sample_size",9522.83028183658
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","weighted_event_rate",0.239559363825994
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","brier",0.15648235830697
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","log_loss",0.485142562753941
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","linear 4DPRR","development_derived_joint_ipw","c_statistic",0.731980138167041
