"database","analysis","candidate_model","reference_model","comparison_role","weighting","metric","estimate"
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","M0","increment_over_baseline","development_derived_joint_ipw","delta_brier",-0.00292038996364394
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","M0","increment_over_baseline","development_derived_joint_ipw","delta_log_loss",-0.00706872793725316
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_MP","M0","increment_over_baseline","development_derived_joint_ipw","delta_c_statistic",0.0103214822111364
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","M0","increment_over_baseline","development_derived_joint_ipw","delta_brier",-0.00276369767479326
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","M0","increment_over_baseline","development_derived_joint_ipw","delta_log_loss",-0.0064463931953348
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","M0","increment_over_baseline","development_derived_joint_ipw","delta_c_statistic",0.00921390855318793
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_DPRR","M0","increment_over_baseline","development_derived_joint_ipw","delta_brier",-0.00783658478006125
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_DPRR","M0","increment_over_baseline","development_derived_joint_ipw","delta_log_loss",-0.0208824193744566
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_DPRR","M0","increment_over_baseline","development_derived_joint_ipw","delta_c_statistic",0.0326395650867378
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_ENERGY","M0","increment_over_baseline","development_derived_joint_ipw","delta_brier",-0.0033785910349636
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_ENERGY","M0","increment_over_baseline","development_derived_joint_ipw","delta_log_loss",-0.00799282727202522
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_ENERGY","M0","increment_over_baseline","development_derived_joint_ipw","delta_c_statistic",0.0114611857373013
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","M_MP","representation_comparison_to_smp","development_derived_joint_ipw","delta_brier",0.000156692288850679
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","M_MP","representation_comparison_to_smp","development_derived_joint_ipw","delta_log_loss",0.000622334741918362
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_4DPRR","M_MP","representation_comparison_to_smp","development_derived_joint_ipw","delta_c_statistic",-0.00110757365794845
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_DPRR","M_MP","representation_comparison_to_smp","development_derived_joint_ipw","delta_brier",-0.00491619481641731
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_DPRR","M_MP","representation_comparison_to_smp","development_derived_joint_ipw","delta_log_loss",-0.0138136914372035
"MIMIC-IV","joint_always_observed_ipw_weighted_fit","M_DPRR","M_MP","representation_comparison_to_smp","development_derived_joint_ipw","delta_c_statistic",0.0223180828756014
