block,database,model or comparison,sample,Brier,log loss,C statistic,CITL,calibration slope,O:E
Analysis flow,MIMIC-IV,Complete-GCS analysis cohort,"3,424 patients; 1,033 deaths; 1 hospital; 32.71% of tuple-positive patients",,,,,,
Analysis flow,eICU-CRD,Complete-GCS analysis cohort,935 patients; 273 deaths; 32 hospitals; 64.08% of tuple-positive patients,,,,,,
Apparent point performance,MIMIC-IV,M0,"3,424 patients; 1,033 deaths",0.1759,0.5304,0.744,,,
Apparent point performance,MIMIC-IV,M_MP,"3,424 patients; 1,033 deaths",0.173,0.5237,0.753,,,
Apparent point performance,MIMIC-IV,M_4DPRR,"3,424 patients; 1,033 deaths",0.1735,0.5242,0.752,,,
Apparent point performance,MIMIC-IV,M_DPRR,"3,424 patients; 1,033 deaths",0.1679,0.5103,0.77,,,
Apparent point performance,MIMIC-IV,M_ENERGY,"3,424 patients; 1,033 deaths",0.1726,0.5227,0.754,,,
External point performance,eICU-CRD,M0,935 patients; 273 deaths,0.1904,0.5682,0.685,-0.026,0.698,0.985
External point performance,eICU-CRD,M_MP,935 patients; 273 deaths,0.1895,0.5666,0.689,-0.004,0.684,0.998
External point performance,eICU-CRD,M_4DPRR,935 patients; 273 deaths,0.1874,0.5623,0.697,-0.081,0.705,0.954
External point performance,eICU-CRD,M_DPRR,935 patients; 273 deaths,0.1867,0.5598,0.703,0.071,0.674,1.041
External point performance,eICU-CRD,M_ENERGY,935 patients; 273 deaths,0.1884,0.5645,0.692,0,0.688,1
External paired point difference,eICU-CRD,M_MP versus M0,Same complete-GCS analysis cohort,-0.00097,-0.00164,0.00468,,,
External paired point difference,eICU-CRD,M_4DPRR versus M0,Same complete-GCS analysis cohort,-0.00299,-0.00592,0.01227,,,
External paired point difference,eICU-CRD,M_DPRR versus M0,Same complete-GCS analysis cohort,-0.00374,-0.00845,0.01864,,,
External paired point difference,eICU-CRD,M_ENERGY versus M0,Same complete-GCS analysis cohort,-0.00198,-0.00375,0.0074,,,
External paired point difference,eICU-CRD,M_4DPRR versus M_MP,Same complete-GCS analysis cohort,-0.00202,-0.00428,0.00759,,,
External paired point difference,eICU-CRD,M_DPRR versus M_MP,Same complete-GCS analysis cohort,-0.00278,-0.00681,0.01395,,,
External paired point difference,eICU-CRD,M_ENERGY versus M_MP,Same complete-GCS analysis cohort,-0.00101,-0.00211,0.00272,,,
