dimension,stratum,N,events,mortality_pct,n_hospitals,adequate
Geographic region,West,889,278,31.3,13,yes (stable estimation)
Geographic region,Northeast,385,137,35.6,7,yes (stable estimation)
Geographic region,Midwest,305,98,32.1,19,yes (stable estimation)
Geographic region,South,134,55,41,11,limited (wide CI)
Hospital bed size,>= 500,816,278,34.1,12,yes (stable estimation)
Hospital bed size,250 - 499,568,173,30.5,11,yes (stable estimation)
Hospital bed size,100 - 249,265,92,34.7,20,yes (stable estimation)
Hospital bed size,<100,41,22,53.7,6,descriptive only
Teaching status,non-teaching,1134,373,32.9,44,yes (stable estimation)
Teaching status,teaching,703,237,33.7,9,yes (stable estimation)
