Characteristic,"Survivors (n = 18,913)","Non-survivors (n = 4,894)",P value,SMD
"Age, years — median (IQR)",64 (54–74),68 (57–79),<0.001,0.28
Female sex — n (%),"7,052 (37.3)","2,108 (43.1)",<0.001,0.12
"ARDS severity (day-1 worst P/F, Berlin) — n (%)",,,<0.001,0.46
 Severe (≤100),"5,817 (30.8)","2,444 (49.9)",,
 Moderate (>100–200),"6,959 (36.8)","1,269 (25.9)",,
 Mild (>200–300),"3,956 (20.9)",531 (10.9),,
 >300 (non-ARDS range at day 1),"1,066 (5.6)",272 (5.6),,
 Unknown,"1,115 (5.9)",378 (7.7),,
"Day-1 worst P/F, mmHg — median (IQR)",138 (88–210),94 (61–162),<0.001,0.34
"Day-1 driving pressure, cmH₂O — median (IQR)",12.0 (10.0–14.0),12.5 (10.0–15.0),<0.001,0.22
"Day-1 mechanical power, J/min — median (IQR)",12.3 (9.3–16.3),14.5 (10.4–20.1),<0.001,0.36
"Day-1 tidal volume/PBW, mL/kg — median (IQR)",7.4 (6.6–8.5),7.1 (6.3–8.2),<0.001,0.17
"Mean driving pressure over 7 d, cmH₂O — median (IQR)",11.8 (10.0–14.0),12.3 (10.3–14.8),<0.001,0.25
"Mean mechanical power over 7 d, J/min — median (IQR)",12.0 (9.2–15.6),14.4 (10.5–20.0),<0.001,0.46
"Peak driving pressure over 7 d, cmH₂O — median (IQR)",12.1 (10.0–15.0),14.0 (11.5–17.0),<0.001,0.41
Days with driving pressure observed — median (IQR),1 (1–3),3 (2–5),<0.001,0.58
"ICU length of stay, h — median (IQR)",93 (49–198),134 (70–240),<0.001,0.05
